"","Height","Weight","CH","Region","CH_age","Background","sex","Body_Ratio"
"1093",171,62,50,"NORTHERN_AMERICA",22,"West","Female",0.362573099415205
"1111",173,61,33,"NORTHERN_AMERICA",18,"West","Female",0.352601156069364
"1171",175,60,21,"NORTHERN_AMERICA",21,"West","Female",0.342857142857143
"1194",167,60,149,"ASIA",19,"East","Female",0.359281437125749
"1202",176,61,475,"NORTHERN_AMERICA",17,"West","Female",0.346590909090909
"1221",179,79,350,"EUROPE",19,"West","Female",0.441340782122905
"1265",168,58,422,"EUROPE",19,"West","Female",0.345238095238095
"1268",180,61,32,"EUROPE",19,"West","Female",0.338888888888889
"1316",163,60,40,"EUROPE",25,"West","Female",0.368098159509202
"1322",175,68,47,"NORTHERN_AMERICA",28,"West","Female",0.388571428571429
"1358",188,77,98,"NORTHERN_AMERICA",21,"West","Female",0.409574468085106
"1361",180,67,188,"EUROPE",20,"West","Female",0.372222222222222
"1449",180,68,146,"NORTHERN_AMERICA",26,"West","Female",0.377777777777778
"1453",163,53,4,"ASIA",25,"East","Female",0.325153374233129
"1502",165,60,26,"EUROPE",22,"West","Female",0.363636363636364
"1506",176,68,48,"EUROPE",22,"West","Female",0.386363636363636
"1517",165,57,76,"EUROPE",16,"West","Female",0.345454545454545
"1543",178,67,110,"EUROPE",28,"West","Female",0.376404494382022
"1569",173,59,55,"EUROPE",25,"West","Female",0.341040462427746
"1675",183,67,42,"ASIA",27,"East","Female",0.366120218579235
"1676",175,76,66,"NORTHERN_AMERICA",23,"West","Female",0.434285714285714
"1681",174,65,20,"EUROPE",19,"West","Female",0.373563218390805
"1734",185,85,1,"EUROPE",22,"West","Male",0.459459459459459
"1735",188,77,1,"EUROPE",24,"West","Male",0.409574468085106
"1736",185,85,1,"EUROPE",22,"West","Male",0.459459459459459
"1737",198,83,4,"EUROPE",23,"West","Male",0.419191919191919
"1738",185,79,4,"EUROPE",24,"West","Male",0.427027027027027
"1739",193,85,5,"EUROPE",20,"West","Male",0.440414507772021
"1740",198,90,3,"EUROPE",20,"West","Male",0.454545454545455
"1741",196,95,8,"EUROPE",23,"West","Male",0.48469387755102
"1742",183,75,9,"EUROPE",31,"West","Male",0.409836065573771
"1743",193,85,6,"EUROPE",30,"West","Male",0.440414507772021
"1744",180,70,7,"EUROPE",26,"West","Male",0.388888888888889
"1745",178,79,9,"EUROPE",32,"West","Male",0.443820224719101
"1746",178,73,4,"ASIA",25,"East","Male",0.410112359550562
"1748",185,75,15,"NORTHERN_AMERICA",20,"West","Male",0.405405405405405
"1749",183,81,3,"EUROPE",28,"West","Male",0.442622950819672
"1750",198,87,8,"EUROPE",23,"West","Male",0.439393939393939
"1751",183,69,18,"OCEANIA",20,"West","Male",0.377049180327869
"1752",208,108,8,"NORTHERN_AMERICA",33,"West","Male",0.519230769230769
"1753",191,81,3,"EUROPE",26,"West","Male",0.424083769633508
"1754",193,88,17,"NORTHERN_AMERICA",19,"West","Male",0.455958549222798
"1755",185,84,10,"EUROPE",24,"West","Male",0.454054054054054
"1756",188,70,22,"EUROPE",22,"West","Male",0.372340425531915
"1757",196,80,18,"EUROPE",26,"West","Male",0.408163265306122
"1759",185,79,16,"EUROPE",27,"West","Male",0.427027027027027
"1760",188,78,10,"EUROPE",26,"West","Male",0.414893617021277
"1761",188,85,12,"EUROPE",21,"West","Male",0.452127659574468
"1762",188,93,5,"EUROPE",26,"West","Male",0.49468085106383
"1763",193,85,13,"OCEANIA",21,"West","Male",0.440414507772021
"1765",196,98,3,"NORTHERN_AMERICA",25,"West","Male",0.5
"1766",193,86,25,"NORTHERN_AMERICA",21,"West","Male",0.44559585492228
"1768",183,83,23,"EUROPE",28,"West","Male",0.453551912568306
"1769",193,92,33,"EUROPE",29,"West","Male",0.476683937823834
"1770",196,81,33,"EUROPE",22,"West","Male",0.413265306122449
"1771",188,82,27,"EUROPE",24,"West","Male",0.436170212765957
"1772",198,89,3,"EUROPE",29,"West","Male",0.44949494949495
"1773",185,75,26,"EUROPE",26,"West","Male",0.405405405405405
"1774",188,76,17,"EUROPE",29,"West","Male",0.404255319148936
"1775",175,75,41,"EUROPE",26,"West","Male",0.428571428571429
"1776",180,79,22,"EUROPE",29,"West","Male",0.438888888888889
"1777",198,95,11,"NORTHERN_AMERICA",30,"West","Male",0.47979797979798
"1779",175,69,39,"EUROPE",29,"West","Male",0.394285714285714
"1780",188,86,29,"NORTHERN_AMERICA",21,"West","Male",0.457446808510638
"1781",198,77,48,"ASIA",22,"East","Male",0.388888888888889
"1782",183,79,33,"OCEANIA",29,"West","Male",0.431693989071038
"1783",188,90,7,"EUROPE",25,"West","Male",0.478723404255319
"1785",188,75,25,"EUROPE",25,"West","Male",0.398936170212766
"1786",191,76,46,"EUROPE",24,"West","Male",0.397905759162304
"1787",188,82,41,"EUROPE",23,"West","Male",0.436170212765957
"1788",188,73,46,"EUROPE",21,"West","Male",0.388297872340426
"1789",183,77,54,"EUROPE",20,"West","Male",0.420765027322404
"1790",183,70,6,"EUROPE",24,"West","Male",0.382513661202186
"1791",180,80,32,"EUROPE",29,"West","Male",0.444444444444444
"1792",183,73,43,"EUROPE",28,"West","Male",0.398907103825137
"1793",183,75,47,"EUROPE",20,"West","Male",0.409836065573771
"1794",185,74,28,"EUROPE",27,"West","Male",0.4
"1795",183,79,7,"EUROPE",21,"West","Male",0.431693989071038
"1796",188,88,12,"EUROPE",33,"West","Male",0.468085106382979
"1797",183,82,43,"OCEANIA",25,"West","Male",0.448087431693989
"1798",188,75,36,"EUROPE",27,"West","Male",0.398936170212766
"1799",175,77,50,"EUROPE",25,"West","Male",0.44
"1800",183,72,39,"ASIA",31,"East","Male",0.39344262295082
"1801",188,83,14,"EUROPE",23,"West","Male",0.441489361702128
"1802",188,89,41,"NORTHERN_AMERICA",27,"West","Male",0.473404255319149
"1803",170,64,58,"ASIA",21,"East","Male",0.376470588235294
"1804",188,82,31,"EUROPE",27,"West","Male",0.436170212765957
"1805",185,78,16,"EUROPE",26,"West","Male",0.421621621621622
"1806",183,75,73,"EUROPE",21,"West","Male",0.409836065573771
"1807",191,78,18,"EUROPE",28,"West","Male",0.408376963350785
"1811",183,78,78,"ASIA",27,"East","Male",0.426229508196721
"1812",178,70,16,"EUROPE",28,"West","Male",0.393258426966292
"1813",183,77,72,"EUROPE",24,"West","Male",0.420765027322404
"1814",175,68,80,"EUROPE",20,"West","Male",0.388571428571429
"1815",183,80,80,"EUROPE",25,"West","Male",0.437158469945355
"1816",180,80,83,"EUROPE",25,"West","Male",0.444444444444444
"1817",188,86,21,"NORTHERN_AMERICA",26,"West","Male",0.457446808510638
"1818",180,72,81,"ASIA",21,"East","Male",0.4
"1819",185,80,79,"EUROPE",27,"West","Male",0.432432432432432
"1820",183,80,82,"EUROPE",20,"West","Male",0.437158469945355
"1822",183,76,83,"EUROPE",23,"West","Male",0.415300546448087
"1823",185,82,79,"NORTHERN_AMERICA",22,"West","Male",0.443243243243243
"1826",193,85,92,"NORTHERN_AMERICA",24,"West","Male",0.440414507772021
"1827",188,80,75,"ASIA",29,"East","Male",0.425531914893617
"1828",188,75,93,"EUROPE",18,"West","Male",0.398936170212766
"1829",196,78,87,"OCEANIA",19,"West","Male",0.397959183673469
"1830",185,80,95,"EUROPE",26,"West","Male",0.432432432432432
"1831",183,76,52,"EUROPE",22,"West","Male",0.415300546448087
"1833",196,85,91,"EUROPE",26,"West","Male",0.433673469387755
"1834",196,91,4,"EUROPE",29,"West","Male",0.464285714285714
"1835",185,78,93,"EUROPE",25,"West","Male",0.421621621621622
"1837",198,94,35,"EUROPE",21,"West","Male",0.474747474747475
"1838",183,75,63,"NORTHERN_AMERICA",23,"West","Male",0.409836065573771
"1840",175,72,36,"ASIA",29,"East","Male",0.411428571428571
"1841",185,75,65,"EUROPE",23,"West","Male",0.405405405405405
"1842",193,85,80,"EUROPE",27,"West","Male",0.440414507772021
"1843",183,82,82,"OCEANIA",23,"West","Male",0.448087431693989
"1844",191,80,64,"ASIA",25,"East","Male",0.418848167539267
"1845",191,80,19,"EUROPE",26,"West","Male",0.418848167539267
"1846",183,80,98,"EUROPE",26,"West","Male",0.437158469945355
"1847",180,80,53,"NORTHERN_AMERICA",23,"West","Male",0.444444444444444
"1849",183,73,8,"EUROPE",25,"West","Male",0.398907103825137
"1850",173,70,70,"EUROPE",28,"West","Male",0.404624277456647
"1851",185,70,96,"EUROPE",29,"West","Male",0.378378378378378
"1852",183,78,33,"EUROPE",35,"West","Male",0.426229508196721
"1853",188,77,118,"EUROPE",24,"West","Male",0.409574468085106
"1854",178,73,47,"ASIA",27,"East","Male",0.410112359550562
"1856",188,83,39,"EUROPE",28,"West","Male",0.441489361702128
"1857",183,79,105,"EUROPE",22,"West","Male",0.431693989071038
"1858",180,77,123,"NORTHERN_AMERICA",26,"West","Male",0.427777777777778
"1859",183,76,98,"EUROPE",23,"West","Male",0.415300546448087
"1860",183,80,104,"EUROPE",25,"West","Male",0.437158469945355
"1861",191,82,1,"EUROPE",29,"West","Male",0.429319371727749
"1862",180,75,60,"ASIA",24,"East","Male",0.416666666666667
"1863",178,69,128,"ASIA",22,"East","Male",0.387640449438202
"1865",188,89,19,"ASIA",21,"East","Male",0.473404255319149
"1866",188,78,132,"OCEANIA",22,"West","Male",0.414893617021277
"1867",178,73,57,"NORTHERN_AMERICA",24,"West","Male",0.410112359550562
"1869",180,78,130,"EUROPE",30,"West","Male",0.433333333333333
"1870",175,76,136,"NORTHERN_AMERICA",28,"West","Male",0.434285714285714
"1871",178,70,99,"EUROPE",30,"West","Male",0.393258426966292
"1873",193,85,78,"EUROPE",24,"West","Male",0.440414507772021
"1874",185,79,25,"EUROPE",32,"West","Male",0.427027027027027
"1875",183,78,138,"OCEANIA",25,"West","Male",0.426229508196721
"1876",193,87,141,"ASIA",23,"East","Male",0.450777202072539
"1877",191,85,24,"EUROPE",25,"West","Male",0.445026178010471
"1878",193,84,80,"EUROPE",24,"West","Male",0.435233160621762
"1880",185,80,23,"EUROPE",27,"West","Male",0.432432432432432
"1882",185,75,141,"EUROPE",20,"West","Male",0.405405405405405
"1884",180,83,127,"EUROPE",27,"West","Male",0.461111111111111
"1885",193,80,31,"EUROPE",24,"West","Male",0.414507772020725
"1886",185,82,84,"EUROPE",27,"West","Male",0.443243243243243
"1887",188,76,137,"EUROPE",23,"West","Male",0.404255319148936
"1888",193,88,25,"NORTHERN_AMERICA",23,"West","Male",0.455958549222798
"1889",180,84,144,"EUROPE",27,"West","Male",0.466666666666667
"1890",193,87,56,"EUROPE",28,"West","Male",0.450777202072539
"1891",193,83,26,"EUROPE",29,"West","Male",0.430051813471503
"1892",175,78,38,"EUROPE",33,"West","Male",0.445714285714286
"1893",180,68,97,"EUROPE",21,"West","Male",0.377777777777778
"1894",193,86,12,"EUROPE",25,"West","Male",0.44559585492228
"1895",183,84,125,"OCEANIA",26,"West","Male",0.459016393442623
"1896",183,82,160,"OCEANIA",25,"West","Male",0.448087431693989
"1897",191,77,33,"EUROPE",25,"West","Male",0.403141361256544
"1898",193,79,129,"EUROPE",24,"West","Male",0.409326424870466
"1899",185,75,146,"EUROPE",18,"West","Male",0.405405405405405
"1901",191,81,126,"EUROPE",22,"West","Male",0.424083769633508
"1902",183,70,71,"EUROPE",21,"West","Male",0.382513661202186
"1903",185,76,126,"EUROPE",22,"West","Male",0.410810810810811
"1904",193,85,167,"EUROPE",25,"West","Male",0.440414507772021
"1906",193,86,99,"EUROPE",26,"West","Male",0.44559585492228
"1907",203,86,172,"EUROPE",27,"West","Male",0.423645320197044
"1909",183,82,80,"EUROPE",25,"West","Male",0.448087431693989
"1910",178,74,175,"EUROPE",24,"West","Male",0.415730337078652
"1911",188,85,33,"ASIA",25,"East","Male",0.452127659574468
"1912",188,82,161,"EUROPE",23,"West","Male",0.436170212765957
"1913",198,84,148,"EUROPE",26,"West","Male",0.424242424242424
"1914",183,80,99,"NORTHERN_AMERICA",22,"West","Male",0.437158469945355
"1915",188,82,153,"EUROPE",21,"West","Male",0.436170212765957
"1916",178,74,178,"EUROPE",24,"West","Male",0.415730337078652
"1917",188,87,44,"EUROPE",25,"West","Male",0.462765957446808
"1918",198,89,180,"NORTHERN_AMERICA",22,"West","Male",0.44949494949495
"1919",180,76,154,"EUROPE",27,"West","Male",0.422222222222222
"1920",183,80,110,"NORTHERN_AMERICA",30,"West","Male",0.437158469945355
"1921",191,78,102,"EUROPE",21,"West","Male",0.408376963350785
"1922",196,91,17,"OCEANIA",23,"West","Male",0.464285714285714
"1923",180,78,164,"EUROPE",24,"West","Male",0.433333333333333
"1924",191,87,178,"ASIA",21,"East","Male",0.455497382198953
"1925",193,85,178,"EUROPE",25,"West","Male",0.440414507772021
"1929",185,77,194,"ASIA",33,"East","Male",0.416216216216216
"1930",191,82,37,"EUROPE",32,"West","Male",0.429319371727749
"1931",188,82,159,"NORTHERN_AMERICA",25,"West","Male",0.436170212765957
"1932",178,69,136,"EUROPE",25,"West","Male",0.387640449438202
