"","CH","sex","Background","variable","value"
"632",388,"Male","West","Height",191
"633",115,"Male","West","Height",183
"634",8,"Male","West","Height",185
"635",492,"Male","West","Height",180
"636",206,"Male","West","Height",185
"637",353,"Male","West","Height",188
"638",472,"Male","West","Height",185
"639",461,"Male","West","Height",178
"640",242,"Male","West","Height",185
"641",341,"Male","West","Height",185
"642",491,"Male","West","Height",183
"643",477,"Male","West","Height",180
"644",157,"Male","West","Height",191
"645",160,"Male","West","Height",188
"646",355,"Male","West","Height",173
"647",408,"Male","West","Height",188
"648",13,"Male","West","Height",180
"649",508,"Male","West","Height",180
"650",386,"Male","West","Height",185
"651",39,"Male","West","Height",193
"652",390,"Male","West","Height",178
"653",482,"Male","West","Height",185
"654",513,"Male","West","Height",185
"655",415,"Male","West","Height",188
"656",40,"Male","West","Height",193
"657",430,"Male","East","Height",175
"658",220,"Male","West","Height",180
"659",174,"Male","West","Height",193
"660",409,"Male","West","Height",180
"661",409,"Male","West","Height",173
"662",524,"Male","West","Height",183
"663",501,"Male","West","Height",185
"664",454,"Male","West","Height",185
"665",375,"Male","West","Height",178
"666",98,"Male","East","Height",193
"667",423,"Male","West","Height",188
"668",480,"Male","West","Height",188
"669",456,"Male","West","Height",185
"670",385,"Male","East","Height",175
"671",491,"Male","West","Height",188
"672",171,"Male","West","Height",178
"673",313,"Male","West","Height",198
"674",70,"Male","West","Height",173
"675",354,"Male","West","Height",185
"676",450,"Male","West","Height",180
"677",496,"Male","West","Height",188
"678",328,"Male","East","Height",185
"679",539,"Male","West","Height",188
"680",553,"Male","West","Height",178
"681",381,"Male","West","Height",193
"682",502,"Male","West","Height",180
"683",558,"Male","West","Height",188
"684",301,"Male","West","Height",185
"685",119,"Male","West","Height",193
"686",278,"Male","East","Height",183
"687",306,"Male","West","Height",183
"688",398,"Male","West","Height",193
"689",243,"Male","West","Height",183
"690",472,"Male","West","Height",183
"691",568,"Male","East","Height",183
"692",536,"Male","West","Height",193
"693",570,"Male","West","Height",185
"694",522,"Male","West","Height",178
"695",543,"Male","West","Height",185
"696",508,"Male","West","Height",183
"697",565,"Male","West","Height",191
"698",567,"Male","West","Height",183
"699",576,"Male","East","Height",173
"700",561,"Male","West","Height",183
"701",287,"Male","West","Height",178
"702",552,"Male","West","Height",191
"703",563,"Male","West","Height",183
"704",584,"Male","West","Height",178
"705",349,"Male","West","Height",178
"706",590,"Male","West","Height",198
"707",585,"Male","West","Height",180
"708",492,"Male","East","Height",180
"709",568,"Male","West","Height",185
"710",150,"Male","West","Height",196
"711",442,"Male","West","Height",183
"712",598,"Male","West","Height",196
"713",339,"Male","West","Height",185
"714",574,"Male","West","Height",188
"715",591,"Male","West","Height",191
"716",599,"Male","West","Height",178
"717",600,"Male","West","Height",170
"718",585,"Male","West","Height",180
"719",495,"Male","West","Height",185
"720",454,"Male","West","Height",185
"721",427,"Male","West","Height",180
"722",611,"Male","West","Height",188
"723",285,"Male","West","Height",183
"724",2,"Male","West","Height",188
"725",349,"Male","West","Height",180
"726",523,"Male","West","Height",193
"727",7,"Male","West","Height",187
"728",601,"Male","East","Height",173
"729",332,"Male","West","Height",201
"730",497,"Male","West","Height",183
"731",518,"Male","East","Height",180
"732",625,"Male","West","Height",183
"733",623,"Male","West","Height",188
"734",426,"Male","East","Height",193
"735",442,"Male","West","Height",185
"736",589,"Male","West","Height",175
"737",538,"Male","West","Height",191
"738",635,"Male","West","Height",188
"739",394,"Male","West","Height",185
"740",518,"Male","West","Height",191
"741",638,"Male","West","Height",196
"742",489,"Male","West","Height",175
"743",574,"Male","West","Height",193
"744",386,"Male","West","Height",180
"745",470,"Male","West","Height",183
"746",503,"Male","West","Height",196
"747",645,"Male","West","Height",193
"748",631,"Male","West","Height",191
"749",494,"Male","West","Height",191
